,kenPom,hoopMath,sportsReference
130,James Madison,James Madison,JAMES-MADISON
131,Kansas,Kansas,KANSAS
132,Kansas St.,Kansas St.,KANSAS-STATE
133,Kennesaw St.,Kennesaw St.,KENNESAW-STATE
134,Kent St.,Kent St.,KENT-STATE
135,Kentucky,Kentucky,KENTUCKY
136,La Salle,La Salle,LA-SALLE
137,Lafayette,Lafayette,LAFAYETTE
138,Lamar,Lamar University,LAMAR
139,Lehigh,Lehigh,LEHIGH
140,Liberty,Liberty,LIBERTY
141,Lipscomb,Lipscomb,LIPSCOMB
142,Little Rock,Little Rock,ARKANSAS-LITTLE-ROCK
143,LIU,LIU Brooklyn,LONG-ISLAND-UNIVERSITY
144,Long Beach St.,Long Beach St.,LONG-BEACH-STATE
145,Longwood,Longwood,LONGWOOD
146,Louisiana,Louisiana,LOUISIANA-LAFAYETTE
147,Louisiana Monroe,La.-Monroe,LOUISIANA-MONROE
148,Louisiana Tech,Louisiana Tech,LOUISIANA-TECH
149,Louisville,Louisville,LOUISVILLE
150,Loyola Chicago,Loyola Chicago,LOYOLA-IL
151,Loyola Marymount,Loyola Marymount,LOYOLA-MARYMOUNT
152,Loyola MD,Loyola Maryland,LOYOLA-MD
153,LSU,LSU,LOUISIANA-STATE
154,Maine,Maine,MAINE
155,Manhattan,Manhattan,MANHATTAN
156,Marist,Marist,MARIST
157,Marquette,Marquette,MARQUETTE
158,Marshall,Marshall,MARSHALL
159,Maryland,Maryland,MARYLAND
160,Maryland Eastern Shore,UMES,MARYLAND-EASTERN-SHORE
161,Massachusetts,Massachusetts,MASSACHUSETTS
162,McNeese St.,McNeese,MCNEESE-STATE
163,Memphis,Memphis,MEMPHIS
164,Mercer,Mercer,MERCER
165,Merrimack,,MERRIMACK
166,Miami FL,Miami (FL),MIAMI-FL
167,Miami OH,Miami (OH),MIAMI-OH
168,Michigan,Michigan,MICHIGAN
169,Michigan St.,Michigan St.,MICHIGAN-STATE
170,Middle Tennessee,Middle Tenn.,MIDDLE-TENNESSEE
171,Milwaukee,Milwaukee,MILWAUKEE
172,Minnesota,Minnesota,MINNESOTA
173,Mississippi,Ole Miss,MISSISSIPPI
174,Mississippi St.,Mississippi St.,MISSISSIPPI-STATE
175,Mississippi Valley St.,Mississippi Val.,MISSISSIPPI-VALLEY-STATE
176,Missouri,Missouri,MISSOURI
177,Missouri St.,Missouri St.,MISSOURI-STATE
178,Monmouth,Monmouth,MONMOUTH
179,Montana,Montana,MONTANA
180,Montana St.,Montana St.,MONTANA-STATE
181,Morehead St.,Morehead St.,MOREHEAD-STATE
182,Morgan St.,Morgan St.,MORGAN-STATE
183,Mount St. Mary's,Mt. St. Mary's,MOUNT-ST-MARYS
184,Murray St.,Murray St.,MURRAY-STATE
185,N.C. State,NC State,NORTH-CAROLINA-STATE
186,Navy,Navy,NAVY
187,Nebraska,Nebraska,NEBRASKA
188,Nebraska Omaha,Omaha,NEBRASKA-OMAHA
189,Nevada,Nevada,NEVADA
190,New Hampshire,New Hampshire,NEW-HAMPSHIRE
191,New Mexico,New Mexico,NEW-MEXICO
192,New Mexico St.,New Mexico St.,NEW-MEXICO-STATE
193,New Orleans,New Orleans,NEW-ORLEANS
194,Niagara,Niagara,NIAGARA
195,Nicholls St.,Nicholls St.,NICHOLLS-STATE
196,NJIT,NJIT,NJIT
197,Norfolk St.,Norfolk St.,NORFOLK-STATE
198,North Alabama,North Ala.,NORTH-ALABAMA
199,North Carolina,North Carolina,NORTH-CAROLINA
200,North Carolina A&T,N.C. A&T,NORTH-CAROLINA-AT
201,North Carolina Central,N.C. Central,NORTH-CAROLINA-CENTRAL
202,North Dakota,North Dakota,NORTH-DAKOTA
203,North Dakota St.,North Dakota St.,NORTH-DAKOTA-STATE
204,North Florida,North Florida,NORTH-FLORIDA
205,North Texas,North Texas,NORTH-TEXAS
206,Northeastern,Northeastern,NORTHEASTERN
207,Northern Arizona,Northern Ariz.,NORTHERN-ARIZONA
208,Northern Colorado,Northern Colo.,NORTHERN-COLORADO
209,Northern Illinois,Northern Ill.,NORTHERN-ILLINOIS
210,Northern Iowa,UNI,NORTHERN-IOWA
211,Northern Kentucky,Northern Ky.,NORTHERN-KENTUCKY
212,Northwestern,Northwestern,NORTHWESTERN
213,Northwestern St.,Northwestern St.,NORTHWESTERN-STATE
214,Notre Dame,Notre Dame,NOTRE-DAME
215,Oakland,Oakland,OAKLAND
216,Ohio,Ohio,OHIO
217,Ohio St.,Ohio St.,OHIO-STATE
218,Oklahoma,Oklahoma,OKLAHOMA
219,Oklahoma St.,Oklahoma St.,OKLAHOMA-STATE
220,Old Dominion,Old Dominion,OLD-DOMINION
221,Oral Roberts,Oral Roberts,ORAL-ROBERTS
222,Oregon,Oregon,OREGON
223,Oregon St.,Oregon St.,OREGON-STATE
224,Pacific,Pacific,PACIFIC
225,Penn,Penn,PENNSYLVANIA
226,Penn St.,Penn St.,PENN-STATE
227,Pepperdine,Pepperdine,PEPPERDINE
228,Pittsburgh,Pittsburgh,PITTSBURGH
229,Portland,Portland,PORTLAND
230,Portland St.,Portland St.,PORTLAND-STATE
231,Prairie View A&M,Prairie View,PRAIRIE-VIEW
232,Presbyterian,Presbyterian,PRESBYTERIAN
233,Princeton,Princeton,PRINCETON
234,Providence,Providence,PROVIDENCE
235,Purdue,Purdue,PURDUE
236,Purdue Fort Wayne,Purdue Fort Wayne,IPFW
237,Quinnipiac,Quinnipiac,QUINNIPIAC
238,Radford,Radford,RADFORD
239,Rhode Island,Rhode Island,RHODE-ISLAND
240,Rice,Rice,RICE
241,Richmond,Richmond,RICHMOND
242,Rider,Rider,RIDER
243,Robert Morris,Robert Morris,ROBERT-MORRIS
244,Rutgers,Rutgers,RUTGERS
245,Sacramento St.,Sacramento St.,SACRAMENTO-STATE
246,Sacred Heart,Sacred Heart,SACRED-HEART
247,Saint Joseph's,Saint Joseph's,SAINT-JOSEPHS
248,Saint Louis,Saint Louis,SAINT-LOUIS
249,Saint Mary's,Saint Mary's (CA),SAINT-MARYS-CA
250,Saint Peter's,Saint Peter's,SAINT-PETERS
251,Sam Houston St.,Sam Houston St.,SAM-HOUSTON-STATE
252,Samford,Samford,SAMFORD
253,San Diego,San Diego,SAN-DIEGO
254,San Diego St.,San Diego St.,SAN-DIEGO-STATE
255,San Francisco,San Francisco,SAN-FRANCISCO
256,San Jose St.,San Jose St.,SAN-JOSE-STATE
257,Santa Clara,Santa Clara,SANTA-CLARA
258,Seattle,Seattle U,SEATTLE
259,Seton Hall,Seton Hall,SETON-HALL
260,Siena,Siena,SIENA
261,SIU Edwardsville,SIUE,SOUTHERN-ILLINOIS-EDWARDSVILLE
262,SMU,SMU,SOUTHERN-METHODIST
263,South Alabama,South Alabama,SOUTH-ALABAMA
264,South Carolina,South Carolina,SOUTH-CAROLINA
265,South Carolina St.,South Carolina St.,SOUTH-CAROLINA-STATE
266,South Dakota,South Dakota,SOUTH-DAKOTA
267,South Dakota St.,South Dakota St.,SOUTH-DAKOTA-STATE
268,South Florida,South Fla.,SOUTH-FLORIDA
269,Southeast Missouri St.,Southeast Mo. St.,SOUTHEAST-MISSOURI-STATE
270,Southeastern Louisiana,Southeastern La.,SOUTHEASTERN-LOUISIANA
271,Southern,Southern U.,SOUTHERN
272,Southern Illinois,Southern Ill.,SOUTHERN-ILLINOIS
273,Southern Miss,Southern Miss.,SOUTHERN-MISSISSIPPI
274,Southern Utah,Southern Utah,SOUTHERN-UTAH
275,St. Bonaventure,St. Bonaventure,ST-BONAVENTURE
276,St. Francis NY,St. Francis Brooklyn,ST-FRANCIS-NY
277,St. Francis PA,Saint Francis (PA),SAINT-FRANCIS-PA
278,St. John's,St. John's (NY),ST-JOHNS-NY
279,Stanford,Stanford,STANFORD
280,Stephen F. Austin,SFA,STEPHEN-F-AUSTIN
281,Stetson,Stetson,STETSON
282,Stony Brook,Stony Brook,STONY-BROOK
283,Syracuse,Syracuse,SYRACUSE
284,TCU,TCU,TEXAS-CHRISTIAN
285,Temple,Temple,TEMPLE
286,Tennessee,Tennessee,TENNESSEE
287,Tennessee Martin,UT Martin,TENNESSEE-MARTIN
288,Tennessee St.,Tennessee St.,TENNESSEE-STATE
289,Tennessee Tech,Tennessee Tech,TENNESSEE-TECH
290,Texas,Texas,TEXAS
291,Texas A&M,Texas A&M,TEXAS-AM
292,Texas A&M Corpus Chris,A&M-Corpus Christi,TEXAS-AM-CORPUS-CHRISTI
293,Texas Southern,Texas Southern,TEXAS-SOUTHERN
294,Texas St.,Texas St.,TEXAS-STATE
295,Texas Tech,Texas Tech,TEXAS-TECH
296,The Citadel,The Citadel,CITADEL
297,Toledo,Toledo,TOLEDO
298,Towson,Towson,TOWSON
299,Troy,Troy,TROY
300,Tulane,Tulane,TULANE
301,Tulsa,Tulsa,TULSA
302,UAB,UAB,ALABAMA-BIRMINGHAM
303,UC Davis,UC Davis,CALIFORNIA-DAVIS
304,UC Irvine,UC Irvine,CALIFORNIA-IRVINE
305,UC Riverside,UC Riverside,CALIFORNIA-RIVERSIDE
306,UC Santa Barbara,UC Santa Barbara,CALIFORNIA-SANTA-BARBARA
307,UCF,UCF,CENTRAL-FLORIDA
308,UCLA,UCLA,UCLA
309,UMass Lowell,UMass Lowell,MASSACHUSETTS-LOWELL
310,UMBC,UMBC,MARYLAND-BALTIMORE-COUNTY
311,UMKC,UMKC,MISSOURI-KANSAS-CITY
312,UNC Asheville,UNC Asheville,NORTH-CAROLINA-ASHEVILLE
313,UNC Greensboro,UNC Greensboro,NORTH-CAROLINA-GREENSBORO
314,UNC Wilmington,UNCW,NORTH-CAROLINA-WILMINGTON
315,UNLV,UNLV,NEVADA-LAS-VEGAS
316,USC,Southern California,SOUTHERN-CALIFORNIA
317,USC Upstate,USC Upstate,SOUTH-CAROLINA-UPSTATE
318,UT Arlington,UT Arlington,TEXAS-ARLINGTON
319,UT Rio Grande Valley,UTRGV,TEXAS-PAN-AMERICAN
320,Utah,Utah,UTAH
321,Utah St.,Utah St.,UTAH-STATE
322,Utah Valley,Utah Valley,UTAH-VALLEY
323,UTEP,UTEP,TEXAS-EL-PASO
324,UTSA,UTSA,TEXAS-SAN-ANTONIO
325,Valparaiso,Valparaiso,VALPARAISO
326,Vanderbilt,Vanderbilt,VANDERBILT
327,VCU,VCU,VIRGINIA-COMMONWEALTH
328,Vermont,Vermont,VERMONT
329,Villanova,Villanova,VILLANOVA
330,Virginia,Virginia,VIRGINIA
331,Virginia Tech,Virginia Tech,VIRGINIA-TECH
332,VMI,VMI,VIRGINIA-MILITARY-INSTITUTE
333,Wagner,Wagner,WAGNER
334,Wake Forest,Wake Forest,WAKE-FOREST
335,Washington,Washington,WASHINGTON
336,Washington St.,Washington St.,WASHINGTON-STATE
337,Weber St.,Weber St.,WEBER-STATE
338,West Virginia,West Virginia,WEST-VIRGINIA
339,Western Carolina,Western Caro.,WESTERN-CAROLINA
340,Western Illinois,Western Ill.,WESTERN-ILLINOIS
341,Western Kentucky,Western Ky.,WESTERN-KENTUCKY
342,Western Michigan,Western Mich.,WESTERN-MICHIGAN
343,Wichita St.,Wichita St.,WICHITA-STATE
344,William & Mary,William & Mary,WILLIAM-MARY
345,Winthrop,Winthrop,WINTHROP
346,Wisconsin,Wisconsin,WISCONSIN
347,Wofford,Wofford,WOFFORD
348,Wright St.,Wright St.,WRIGHT-STATE
349,Wyoming,Wyoming,WYOMING
350,Xavier,Xavier,XAVIER
351,Yale,Yale,YALE
352,Youngstown St.,Youngstown St.,YOUNGSTOWN-STATE
353,,Savannah St.,
